Date : 2024-06-10 14:07:52
Directory : c:\Users\badin\Downloads\client1k
Total : 105 files,  17331 codes, 350 comments, 561 blanks, all 18242 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.html                                  | HTML               |         30 |         24 |          1 |         55 |
| c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.scss                                  | SCSS               |         84 |          0 |         17 |        101 |
| c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.spec.ts                               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.ts                                    | TypeScript         |         49 |          0 |          5 |         54 |
| c:\Users\badin\Downloads\client1k\src\app\components\info\info.component.html                                      | HTML               |         43 |          0 |          0 |         43 |
| c:\Users\badin\Downloads\client1k\src\app\components\info\info.component.scss                                      | SCSS               |         29 |          0 |          5 |         34 |
| c:\Users\badin\Downloads\client1k\src\app\components\info\info.component.spec.ts                                   | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\badin\Downloads\client1k\src\app\components\info\info.component.ts                                        | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.html                  | HTML               |         31 |          0 |          3 |         34 |
| c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.scss                  | SCSS               |         21 |          0 |          1 |         22 |
| c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.spec.ts               | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.ts                    | TypeScript         |         10 |          0 |          4 |         14 |
| c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.html                                | HTML               |         44 |          0 |          1 |         45 |
| c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.scss                                | SCSS               |         96 |          0 |         25 |        121 |
| c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.spec.ts                             | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.ts                                  | TypeScript         |         78 |          4 |          6 |         88 |
| c:\Users\badin\Downloads\client1k\src\app\components\reference\reference.component.html                            | HTML               |         20 |          0 |          0 |         20 |
| c:\Users\badin\Downloads\client1k\src\app\components\reference\reference.component.scss                            | SCSS               |         29 |          0 |          5 |         34 |
| c:\Users\badin\Downloads\client1k\src\app\components\reference\reference.component.spec.ts                         | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\badin\Downloads\client1k\src\app\components\reference\reference.component.ts                              | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\badin\Downloads\client1k\src\app\components\registration-popup\registration-popup.component.html          | HTML               |         35 |          1 |          3 |         39 |
| c:\Users\badin\Downloads\client1k\src\app\components\registration-popup\registration-popup.component.scss          | SCSS               |         37 |          0 |          8 |         45 |
| c:\Users\badin\Downloads\client1k\src\app\components\registration-popup\registration-popup.component.spec.ts       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\badin\Downloads\client1k\src\app\components\registration-popup\registration-popup.component.ts            | TypeScript         |         15 |          0 |          5 |         20 |
| c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.html                                  | HTML               |         26 |          0 |          2 |         28 |
| c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.scss                                  | SCSS               |         33 |          0 |          8 |         41 |
| c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.spec.ts                               | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.ts                                    | TypeScript         |        153 |         13 |          3 |        169 |
| c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.html                            | HTML               |         68 |          0 |         18 |         86 |
| c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.scss                            | SCSS               |         90 |          1 |         19 |        110 |
| c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.spec.ts                         | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.ts                              | TypeScript         |         46 |          0 |          8 |         54 |
| c:\Users\badin\Downloads\client1k\src\app\models\flight.ts                                                         | TypeScript         |         10 |          0 |          1 |         11 |
| c:\Users\badin\Downloads\client1k\src\app\models\passenger.ts                                                      | TypeScript         |          9 |          0 |          1 |         10 |
| c:\Users\badin\Downloads\client1k\src\app\models\subsidy.ts                                                        | TypeScript         |          7 |          0 |          0 |          7 |
| c:\Users\badin\Downloads\client1k\src\app\models\ticket.ts                                                         | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\badin\Downloads\client1k\src\app\services\auth.service.spec.ts                                            | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\badin\Downloads\client1k\src\app\services\auth.service.ts                                                 | TypeScript         |         17 |         47 |         21 |         85 |
| c:\Users\badin\Downloads\client1k\src\app\services\passenger.service.spec.ts                                       | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\badin\Downloads\client1k\src\app\services\passenger.service.ts                                            | TypeScript         |         23 |         14 |         10 |         47 |
| c:\Users\badin\Downloads\client1k\src\app\services\route.service.spec.ts                                           | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\badin\Downloads\client1k\src\app\services\route.service.ts                                                | TypeScript         |         18 |          0 |          8 |         26 |
| c:\Users\badin\Downloads\client1k\src\app\services\subsidy.service.spec.ts                                         | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\badin\Downloads\client1k\src\app\services\subsidy.service.ts                                              | TypeScript         |         18 |          0 |          9 |         27 |
| c:\Users\badin\Downloads\client1k\src\app\services\websocket\WebsocketModule.ts                                    | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\badin\Downloads\client1k\src\app\services\websocket\index.ts                                              | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.config.ts                                   | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.interfaces.ts                               | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.module.ts                                   | TypeScript         |          0 |         22 |          3 |         25 |
| c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.service.spec.ts                             | TypeScript         |          0 |         12 |          3 |         15 |
| c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.service.ts                                  | TypeScript         |          0 |        109 |         30 |        139 |
| c:\Users\badin\Downloads\client1k\src\assets\images\flights.svg                                                    | XML                |         29 |          0 |          1 |         30 |
| c:\Users\badin\Downloads\client1k\src\assets\images\info(no pic).svg                                               | XML                |         28 |          0 |          1 |         29 |
| c:\Users\badin\Downloads\client1k\src\assets\images\info.svg                                                       | XML                |         38 |          0 |          1 |         39 |
| c:\Users\badin\Downloads\client1k\src\assets\images\pdf-2610.svg                                                   | XML                |         14 |          0 |          1 |         15 |
| c:\Users\badin\Downloads\client1k\src\assets\images\route(no pic).svg                                              | XML                |         28 |          0 |          1 |         29 |
| c:\Users\badin\Downloads\client1k\src\assets\images\route.svg                                                      | XML                |         33 |          0 |          1 |         34 |
| c:\Users\badin\Downloads\client1k\src\assets\routes.csv                                                            | CSV                |        271 |          0 |          0 |        271 |
| c:\Users\badin\Downloads\client1k\src\enviroments\enviroment.ts                                                    | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\badin\Downloads\client1k\src\index.html                                                                   | HTML               |         16 |          0 |          1 |         17 |
| c:\Users\badin\Downloads\client1k\src\main.ts                                                                      | TypeScript         |          4 |          1 |          6 |         11 |
| c:\Users\badin\Downloads\client1k\src\styles.scss                                                                  | SCSS               |          4 |          7 |          5 |         16 |
| c:\Users\badin\Downloads\client1k\tsconfig.app.json                                                                | JSON               |         15 |          1 |          1 |         17 |
| c:\Users\badin\Downloads\client1k\tsconfig.json                                                                    | JSON with Comments |         32 |          1 |          1 |         34 |
| c:\Users\badin\Downloads\client1k\tsconfig.spec.json                                                               | JSON               |         14 |          1 |          1 |         16 |
| Total                                                                                                              |                    |     17,331 |        350 |        561 |     18,242 |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
